Title,Text,Choices,Correctness
Question 1,Een while-loop wordt één keer of vaker doorlopen.,Waar~~Onwaar,False~~True
Question 2,Een if-statement moet een else of een elif-deel bevatten.,Waar~~Onwaar,False~~True
Question 3,"Herschrijf de volgende code:


if year <= 2022:
    pass
else:
    year = 2022",Correct Answer,"De code bevat een onnodige pass. De code kan namelijk duidelijker en korter:

if year > 2022
    year = 2022"
Question 4,"Herschrijf de volgende code:

for i in range(len(lst)):
    if lst[i] > 0:
        print(lst[i])",Correct Answer,"for (i, n) in enumerate(lst):
    if n > 0:
        print(n)"
Question 5,"Gegeven is:

lst = [('a', 'b'), ('c', 'd'), ('e', 'f')]

Gebruik tuple unpacking om onder elkaar af te drukken:

a and b
c and d
e and f


",Correct Answer,"for x, y in lst:
    print(x + ' and ' + y)"
Question 6,"Gegeven is de volgende code:

lst1 = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
lst2 = [0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20]
lst3 = zip(lst1, lst2)

Hoe print je, met behulp van lst3, de tafel van twee?",Correct Answer,"for x, y in lst3:
    print(str(x) + ' maal 2 is: ' + str(y))"
Question 7,"Gegeven is:

lst1 = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

Creëer met list comprehension een&nbsp; nieuwe list, waarin de items 17 maal de items van lst1 zijn.",Correct Answer,lst2 = [17 * x for x in lst1]
Question 8,"Gegeven is de volgende list:

lst1 = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

Creëer met dictionary comprehension een dictionary die als keys de items van deze list heeft, en als values 17 maal deze items.",Correct Answer,dic2 = {i: i * 17 for i in lst1}
Question 9,"Gegeven is de volgende list:

lst1 = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

Creëer een generator-expressie waarmee je de veelvouden van 17 kunt afdrukken, op basis van deze lst.

Laat ook zien hoe je die veelvouden afdrukt.",Correct Answer,"table_of_17 = (i * 17 for i in lst1)
for i in table_of_17:
    print(i)"
Question 10,"Op het moment dat je de onderstaande code draait is de variabele a nog niet gedefinieerd.

if a:
    print(""a bestaat"")
else:
    print(""a bestaat niet"")

De console zal melden: ""a bestaat niet"".",Waar~~Onwaar,False~~True
Question 11,"Gegeven de volgende code:

a = ''
if a:
    print(""a bestaat"")
else:
    print(""a bestaat niet"")

Wat wordt er in de console afgedrukt?",a bestaat~~a bestaat niet,False~~True
Question 1,"Voer je de volgende code in:

>> print('3 maal 5 is: ' + 3*5)

Wanneer je de code draait krijg je de volgende foutmelding:

TypeError: can only concatenate str (not ""int"") to str

Welke conclusie kun je op basis daarvan trekken?","Python is redelijk sterk getypeerd, en dynamisch getypeerd.~~Python is redelijk sterk getypeerd, en statisch getypeerd.~~Python is redelijk sterk getypeerd. Over statisch of dynamisch kun je niets afleiden.~~Je kunt op basis hiervan geen van de andere drie conclusies trekken.",False~~False~~True~~False
Question 2,"Hoe geef je in Pythn aan:

2 tot de macht 5.",2**5~~2^5~~2^^5~~Geen van deze mogelijkheden.,True~~False~~False~~False
Question 3,"Nul of meer antwoorden kunnen juist zijn. Kruis dus alles aan dat juist is (of niets, als er geen juist antwoord tussen zit).",Het type van een lege lijst is None.~~Er bestaat slechts één object None.~~Het type van 5/3 is int.~~Het type van 5%3 is int.,False~~True~~False~~True
Question 4,"Welke van de volgende uitspraken is juist?

Er kunnen meerdere juiste antwoorden zijn.Het kan ook zo zijn dat geen enkel antwoord juist is.","Als een datatype immutable is, zijn alle waarden van dat type hashable.~~Als een datatype hashable is, zijn alle waarden van dat type immutabe.~~Als een datatype mutable is, is geen enkele waarde van dat type hashable.~~Als een type hashable is, is geen enkele waarde van dat type mutable.",False~~True~~True~~True
Question 5,"Gegeven is:

mylist = [1, 2, 3, 4, 5, 6]

Welke van de onderstaande expressies geven als resultaat 4?

Let op. Meerdere antwoorden kunnen juist zijn (of geen enkel antwoord).",mylist[3:4]~~mylist[3:][0]~~mylist[-3:4]~~mylist[-3:][0],True~~True~~False~~True
Question 6,"Wat staat er in de console na het uitvoeren van de volgende code?


list1 = [1,2,3,4,5,6] 
list2 = list1 
list3 = list1[:] 

list2.append(7) 
list3.append(8) 

print(list1) 
","[8]~~[1, 2, 3, 4, 5, 6]~~[1, 2, 3, 4, 5, 6, 7]~~[1, 2, 3, 4, 5, 6, 7, 8]~~[7]~~[]",False~~False~~True~~False~~False~~False
Question 7,"Is de volgende uitspraak waar of onwaar?

Als een waarde immutable is, is die waarde ook hashable.",Waar~~Onwaar,False~~True
Question 8,"We hebben een lijst met elementen die ook weer een lijst zijn, met integers, en met verschillende lengte.

Schrijf een code om de lijst te sorteren op basis van de som van de elementen van de lijsten, oplopend.

Bij de onderstaande invoerlijst:

>> [[1,2],[10],[0,0,0],[1,1]]  

Is het resultaat dan:

>> [[0, 0, 0], [1, 1], [1, 2], [10]] 
",Correct Answer,x.sort(key=sum)
Question 9,"Wat wordt er in de console geprint?

print('{a}, {0}, {abc}'.format('Dit tentamen ', a='is ', abc='gemakkelijk '))","Dit tentamen , is , gemakkelijk&nbsp;~~Dit tentamen , gemakkelijk , is~~is , Dit tentamen , gemakkelijk~~is , gemakkelijk , Dit tentamen&nbsp;~~gemakkelijk , Dit tentamen , is~~gemakkelijk , is , Dit tentamen ",False~~False~~True~~False~~False~~False
